"STATISTIC Label","Year","Product","UNIT","VALUE"
"Production of Dairy Products","2019","Butter","000 Tonnes","250.8"
"Production of Dairy Products","2019","Skimmed Milk Powder","000 Tonnes","142.5"
"Production of Dairy Products","2020","Cheese","000 Tonnes","285.4"
"Production of Dairy Products","2020","Butter","000 Tonnes","264.73"
"Production of Dairy Products","2020","Skimmed Milk Powder","000 Tonnes","150.14"
"Production of Dairy Products","2021","Cheese","000 Tonnes","287.03"
"Production of Dairy Products","2021","Butter","000 Tonnes","275.6"
"Production of Dairy Products","2021","Skimmed Milk Powder","000 Tonnes","147.65"
"Production of Dairy Products","2022","Cheese","000 Tonnes","282.48"
"Production of Dairy Products","2022","Butter","000 Tonnes","269.2"
"Production of Dairy Products","2022","Skimmed Milk Powder","000 Tonnes","173.69"
"Production of Dairy Products","2023","Cheese","000 Tonnes","284.9"
"Production of Dairy Products","2023","Butter","000 Tonnes","273.2"
"Production of Dairy Products","2023","Skimmed Milk Powder","000 Tonnes","167.18"
